# Position c_coord[0]
-0.00111778 4
-0.00950602 3
-0.00893543 6
-0.00885558 6
-0.00791533 9
-0.00746872 5
-0.00525739 6
-0.00451587 6
-0.00361317 8
-0.0025207 5
-0.00161566 4
-0.000736017 7
-0.00861933 5
-0.00769448 2
-0.00702344 9
-0.00606053 7
-0.00668484 7
-0.00514768 6
-0.00409183 7
-0.00310217 8
-0.00351556 6
-0.00221993 6
-0.000908263 7
-0.000415227 5
-0.00951516 3
-0.00851388 7
-0.00718541 6
-0.00623965 6
-0.00529516 8
-0.0044221 7
-0.00301514 6
-0.0018448 6
-0.00119456 5
-0.000282271 7
-0.00919007 4
-0.0086255 5
-0.00763894 6
-0.00774476 4
-0.00628476 6
-0.00545923 8
-0.00517404 6
-0.0036616 4
-0.00258382 7
-0.0027156 8
-0.00181088 7
-0.0010088 8
-0.000193729 5
-0.00950449 4
-0.00868301 7
-0.00795238 9
-0.00702679 8
-0.0058036 7
-0.00466806 4
-0.00370918 7
-0.00322519 7
-0.00372261 8
-0.00287019 7
-0.00214855 4
-0.000976813 7
-0.000683932 7
-0.00951815 5
-0.00856172 4
-0.00751887 7
-0.00658518 5
-0.0053071 7
-0.00430798 7
-0.00304791 6
-0.00219422 6
-0.00146428 8
-6.64252e-05 8
-0.000628747 8
-0.00928702 5
-0.00832217 9
-0.00752985 6
-0.00680871 8
-0.00646825 6
-0.00589336 7
-0.00557239 5
-0.00476344 7
-0.00375787 6
-0.00395243 5
-0.00303547 5
-0.00231746 8
-0.00155732 7
-0.00052333 8
-0.00954844 4
-0.00824055 6
-0.00879411 9
-0.00754612 6
-0.00658897 4
-0.00569478 7
-0.00369336 7
-0.0028593 8
-0.00200467 4
-0.00111451 6
-0.000129878 7
-0.00906831 6
-0.00727209 7
-0.00727871 8
-0.00641177 8
-0.00418481 6
-0.0050085 7
-0.00326601 6
-0.00238805 5
-0.00140369 6
-0.000649268 6
-0.000477387 7
-0.00953032 6
-0.00868003 9
-0.00789712 5
-0.00701921 7
-0.00604685 6
-0.00507906 6
-0.00519481 7
-0.00429779 8
-0.00347593 4
-0.00271728 9
-0.00185413 7
-0.000361253 6
-0.00942138 6
-0.00809112 5
-0.00715957 7
-0.00660026 8
-0.00566118 4
-0.00415063 8
-0.00320482 7
-0.00221805 8
-0.00125262 8
-0.00951332 5
-0.00877993 6
-0.0073899 6
-0.00651541 6
-0.00565133 4
-0.00492049 6
-0.00362544 8
-0.00259174 6
-0.0027047 6
-0.00174281 4
-0.000909941 5
-0.000802075 8
-0.00952322 6
-0.00796367 7
-0.00724699 6
-0.00675621 6
-0.00586209 5
-0.00408975 7
-0.00466009 5
-0.00345073 9
-0.00209336 7
-0.00282399 7
-0.00917666 4
-0.0084022 7
-0.00742999 8
-0.00647623 5
-0.00555925 6
-0.00534487 8
-0.00403868 4
-0.0047629 2
-0.00369243 6
-0.00256365 6
-0.00182416 6
-0.00105403 5
-0.000539097 7
-0.00951715 3
-0.00815818 6
-0.0069846 4
-0.0060167 7
-0.00529329 6
-0.00414576 9
-0.00320211 6
-0.00225832 8
-0.00131612 6
-0.000427421 7
-0.00951572 4
-0.00813426 6
-0.00710357 8
-0.00619986 7
-0.00535529 5
-0.00451943 3
-0.00351149 7
-0.002674 5
-0.00198271 7
-0.00159936 5
-0.00102623 5
-0.000105088 7
-0.00951463 3
-0.00812772 6
-0.00713611 5
-0.00615243 6
-0.00574691 6
-0.00492582 8
-0.00351399 8
-0.00230439 7
-0.00143974 6
-0.000672552 8
-0.00951523 4
-0.00889548 7
-0.00809303 5
-0.00712819 7
-0.0063409 7
-0.00631621 10
-0.00537568 4
-0.00395087 5
-0.00312152 7
-0.000902243 6
-0.00951134 4
-0.00863194 6
-0.00678099 4
-0.00596717 6
-0.00538885 5
-0.00497488 7
-0.00406713 7
-0.00308514 8
-0.00218595 5
-0.00226696 6
-0.0014131 7
-0.00952337 6
-0.00864676 6
-0.00781075 5
-0.00605355 7
-0.0068383 7
-0.00549704 7
-0.00516513 5
-0.00454813 6
-0.00361456 7
-0.00301344 5
-0.00170536 5
-0.000893882 8
-0.00950379 5
-0.00794653 6
-0.00696407 7
-0.0060135 7
-0.00458786 7
-0.00393507 5
-0.00321348 5
-0.00228049 7
-0.00128745 5
-0.000492961 5
-0.00908566 6
-0.00826817 8
-0.00622034 4
-0.00552523 7
-0.00303179 6
-0.00215247 6
-0.00137645 6
-0.00044943 5
-0.00953613 5
-0.00875154 8
-0.00794713 7
-0.00718135 5
-0.0078597 9
-0.00529827 5
-0.00581554 7
-0.0046811 3
-0.00411676 9
-0.00366466 8
-0.00222482 5
-0.00297874 6
-0.00274441 7
-0.00149306 5
-0.000529646 8
-0.00951496 3
-0.00824397 6
-0.0076193 5
-0.00671209 5
-0.00645873 7
-0.00557737 7
-0.00503788 5
-0.00457503 5
-0.00349628 3
-0.00259099 7
-0.00187701 6
-0.00107411 7
-0.000140647 8
-0.00950152 3
-0.0091314 7
-0.00869958 5
-0.00832716 6
-0.00775012 7
-0.00697233 6
-0.00525308 5
-0.00600626 8
-0.00443401 8
-0.0035467 7
-0.00204266 6
-0.0029039 7
-0.00113262 5
