"cellID","T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Cell Type"
70,585.14,1,0.175,1,0,0,0,2075.8,0,0,1,585.14,0,1,0.00086431,-8.5232e-05,0.060921,0.00086483,-8.5265e-05,0.060921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
71,585.01,1,0.175,1,0,0,0,2075.8,0,0,1,585.01,0,1,0.00042587,4.194e-05,0.061082,0.00042692,4.1931e-05,0.061081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
72,584.74,1,0.175,1,0,0,0,2075.8,0,0,1,584.74,0,1,-0.00072819,1.9901e-05,0.06251,-0.00072727,1.9955e-05,0.062508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
73,584.4,1,0.175,1,0,0,0,2075.8,0,0,1,584.4,0,1,-0.0020651,0.00010312,0.063492,-0.002066,0.00010321,0.063491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
74,583.97,1,0.175,1,0,0,0,2075.8,0,0,1,583.97,0,1,-0.0042965,0.00010956,0.065575,-0.0042979,0.0001095,0.065577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
75,583.54,1,0.175,1,0,0,0,2075.8,0,0,1,583.54,0,1,-0.0067259,0.00015116,0.066884,-0.006726,0.00015108,0.066885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
76,583.1,1,0.175,1,0,0,0,2075.8,0,0,1,583.1,0,1,-0.0095775,0.00021448,0.068376,-0.009577,0.00021441,0.068376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
77,582.77,1,0.175,1,0,0,0,2075.8,0,0,1,582.77,0,1,-0.01111,0.000195,0.06681,-0.01111,0.00019496,0.06681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
78,582.51,1,0.175,1,0,0,0,2075.8,0,0,1,582.51,0,1,-0.0098032,0.00021443,0.05899,-0.0098027,0.00021442,0.058989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
79,582.4,1,0.175,1,0,0,0,2075.8,0,0,1,582.4,0,1,-0.0036391,0.00010705,0.037252,-0.0036389,0.00010708,0.037251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
80,582.54,1,0.175,1,0,0,0,2075.8,0,0,1,582.54,0,1,0.0032676,-0.00017065,0.035961,0.0032677,-0.00017084,0.03596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
81,582.65,1,0.175,1,0,0,0,2075.8,0,0,1,582.65,0,1,0.010458,-0.00027538,0.056446,0.010458,-0.00027543,0.056446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
82,582.9,1,0.175,1,0,0,0,2075.8,0,0,1,582.9,0,1,0.011172,-0.00028381,0.064781,0.011172,-0.00028362,0.064781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
83,583.25,1,0.175,1,0,0,0,2075.8,0,0,1,583.25,0,1,0.010464,-0.00023494,0.065083,0.010464,-0.00023452,0.065083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
